video_id,method,query,query_length,best_iou,failure_type,matched_gt
TVSUM_30,Moment-DETR,"the moment when the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",30,0.2222222222222222,missed_or_bad_boundary,"Commuters share how cycling helps them connect with new people, stay active and support the environment"
TVSUM_30,Moment-DETR,"a scene where the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",30,0.0,missed_or_bad_boundary,
TVSUM_30,Moment-DETR,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013",27,0.0,missed_or_bad_boundary,
TVSUM_30,Moment-DETR,"the event in which the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",31,0.12903225806451613,missed_or_bad_boundary,A Belgium commuter describes the bike as the best way to explore the city and stay inspired
TVSUM_30,Moment-DETR,"video segment showing the host talks about the 'bike friendly cities' project, a european initiative across the uk, netherlands, france and belgium, where cities held bike rides in summer 2013",30,0.12903225806451613,missed_or_bad_boundary,A Belgium commuter describes the bike as the best way to explore the city and stay inspired
TVSUM_30,Moment-DETR,"video segment showing commuters share how cycling helps them connect with new people, stay active and support the environment",19,0.15384615384615385,missed_or_bad_boundary,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013"
TVSUM_30,Moment-DETR,"Commuters share how cycling helps them connect with new people, stay active and support the environment",16,0.2222222222222222,missed_or_bad_boundary,"Commuters share how cycling helps them connect with new people, stay active and support the environment"
TVSUM_30,Moment-DETR,"a scene where commuters share how cycling helps them connect with new people, stay active and support the environment",19,0.16,missed_or_bad_boundary,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable"
TVSUM_30,Moment-DETR,"the moment when commuters share how cycling helps them connect with new people, stay active and support the environment",19,0.11538461538461539,missed_or_bad_boundary,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable"
TVSUM_30,Moment-DETR,"the event in which commuters share how cycling helps them connect with new people, stay active and support the environment",20,0.12903225806451613,missed_or_bad_boundary,A Belgium commuter describes the bike as the best way to explore the city and stay inspired
TVSUM_30,Moment-DETR,"a scene where local riders explain that cycling is a fast, fun, eco-friendly and affordable",15,0.034482758620689655,missed_or_bad_boundary,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013"
TVSUM_30,Moment-DETR,"video segment showing local riders explain that cycling is a fast, fun, eco-friendly and affordable",15,0.2222222222222222,missed_or_bad_boundary,"Commuters share how cycling helps them connect with new people, stay active and support the environment"
TVSUM_30,Moment-DETR,"the moment when local riders explain that cycling is a fast, fun, eco-friendly and affordable",15,0.045454545454545456,missed_or_bad_boundary,"Commuters share how cycling helps them connect with new people, stay active and support the environment"
TVSUM_30,Moment-DETR,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable",12,0.0,missed_or_bad_boundary,
TVSUM_30,Moment-DETR,the event in which a belgium commuter describes the bike as the best way to explore the city and stay inspired,21,0.15384615384615385,missed_or_bad_boundary,"The host talks about the 'Bike Friendly Cities' project, a European initiative across the UK, Netherlands, France and Belgium, where cities held bike rides in summer 2013"
TVSUM_30,Moment-DETR,A Belgium commuter describes the bike as the best way to explore the city and stay inspired,17,0.0,missed_or_bad_boundary,
TVSUM_30,Moment-DETR,the moment when a belgium commuter describes the bike as the best way to explore the city and stay inspired,20,0.28,missed_or_bad_boundary,"Local riders explain that cycling is a fast, fun, eco-friendly and affordable"
TVSUM_30,Moment-DETR,a scene where a belgium commuter describes the bike as the best way to explore the city and stay inspired,20,0.12903225806451613,missed_or_bad_boundary,A Belgium commuter describes the bike as the best way to explore the city and stay inspired
